D	P	R
8	18	-0.0031074564297922658
9	18	-0.0031074564297922658
10	18	-0.0031074564297922658
1	19	0.3848853125951964
2	19	0.3848853125951964
3	19	0.3848853125951964
4	19	0.854821430481748
5	19	0.46993611788655154
6	19	0.46993611788655154
7	19	1.1100380957461045
8	19	0.6401019778595529
9	19	0.6401019778595529
10	19	0.6401019778595529
1	20	0.3848853125951964
2	20	0.3848853125951964
3	20	0.3848853125951964
4	20	0.854821430481748
5	20	0.46993611788655154
6	20	0.46993611788655154
7	20	1.1100380957461045
8	20	0.6401019778595529
9	20	0.6401019778595529
10	20	0.6401019778595529
1	21	0.3848853125951964
2	21	0.3848853125951964
3	21	0.3848853125951964
4	21	0.854821430481748
5	21	0.46993611788655154
6	21	0.46993611788655154
7	21	1.1100380957461045
8	21	0.6401019778595529
9	21	0.6401019778595529
10	21	0.6401019778595529
